Subject,Action,Object,Exception-Condition,Resource-Usage,Time-stamp,flag
User3,Copy,File3,1,3.72,2016:04:06:03:18:02,normal
User2,Execute,wmp.exe,1,120.95,2016:04:06:03:19:38,normal
User1,Read,File1,1,30.77,2016:04:06:03:23:41,normal
User3,Execute,ps.exe,1,90.04,2016:04:06:03:24:01,normal
User3,Execute,notepad.exe,1,9.8,2016:04:06:03:25:41,normal
User5,Execute,GChrome.exe,1,93.92,2016:04:06:03:31:30,normal
User3,Copy,File2,1,32.84,2016:04:06:03:32:14,normal
User3,Copy,File1,1,28.97,2016:04:06:03:34:50,normal
User1,Copy,SharedFile4,1,5.98,2016:04:06:03:36:32,normal
User4,Close,SharedFile6,1,3.36,2016:04:06:03:37:11,normal
User4,Execute,GChrome.exe,1,100.99,2016:04:06:03:40:57,normal
User3,Execute,notepad.exe,1,11.83,2016:04:06:03:41:45,normal
User3,Execute,wmp.exe,1,114.28,2016:04:06:03:42:18,normal
User4,Open,SharedFile6,1,16.31,2016:04:06:03:45:35,normal
User1,Delete,File1,1,32.64,2016:04:06:03:46:33,normal
User5,Write,File1,1,41.9,2016:04:06:03:48:59,normal
User3,Execute,GChrome.exe,1,105.17,2016:04:06:03:51:01,normal
User5,Cut,File2,1,37.78,2016:04:06:03:52:30,normal
User4,Write,File3,1,2.52,2016:04:06:03:54:06,normal
User3,Execute,ps.exe,1,116.69,2016:04:06:03:56:37,normal
User5,Execute,ps.exe,1,68.46,2016:04:06:03:57:04,normal
User2,Cut,File3,1,1.91,2016:04:06:03:58:10,normal
User5,Execute,GChrome.exe,1,98.4,2016:04:06:04:01:28,normal
User3,Copy,SharedFile5,1,11,2016:04:06:04:04:31,normal
User1,Copy,File2,1,16.49,2016:04:06:04:05:04,normal
User2,Cut,File1,1,50.76,2016:04:06:04:10:05,normal
User5,Execute,cmd.exe,1,1.36,2016:04:06:04:11:00,normal
User5,Read,File3,1,2.11,2016:04:06:04:12:17,normal
User3,Execute,GChrome.exe,1,120.87,2016:04:06:04:15:51,normal
User2,Cut,File2,1,30.24,2016:04:06:04:16:29,normal
User2,Execute,GChrome.exe,1,101.74,2016:04:06:04:19:25,normal
User3,Execute,ps.exe,1,64.1,2016:04:06:04:20:24,normal
User1,Execute,notepad.exe,1,9.62,2016:04:06:04:21:31,normal
User1,Execute,cmd.exe,1,2.35,2016:04:06:04:22:14,normal
User5,Execute,ps.exe,1,37.82,2016:04:06:04:25:33,normal
User2,Read,File2,1,20.88,2016:04:06:04:28:46,normal
User1,Execute,wmp.exe,1,112.61,2016:04:06:04:31:44,normal
User2,Copy,File2,1,25.19,2016:04:06:04:34:31,normal
User3,Execute,cmd.exe,1,2.96,2016:04:06:04:35:02,normal
User2,Execute,GChrome.exe,1,93.39,2016:04:06:04:38:32,normal
User1,Execute,ps.exe,1,77.53,2016:04:06:04:41:12,normal
User2,Execute,ps.exe,1,44.45,2016:04:06:04:44:53,normal
User1,Execute,wmp.exe,1,110.33,2016:04:06:04:45:44,normal
User5,Copy,File3,1,2.83,2016:04:06:04:47:37,normal
User4,Execute,GChrome.exe,1,85.88,2016:04:06:04:51:00,normal
User4,Cut,File2,1,31.18,2016:04:06:04:52:46,normal
User4,Write,File2,1,22.68,2016:04:06:04:54:42,normal
User3,Write,File2,1,24.13,2016:04:06:04:56:25,normal
User2,Execute,ps.exe,1,121.08,2016:04:06:04:58:44,normal
User3,Write,File2,1,27.28,2016:04:06:05:02:20,normal
User2,Execute,notepad.exe,1,11.3,2016:04:06:05:03:54,normal
User4,Read,File3,1,2.62,2016:04:06:05:05:33,normal
User2,Execute,wmp.exe,1,118.83,2016:04:06:05:08:08,normal
User2,Execute,GChrome.exe,1,128.7,2016:04:06:05:09:06,normal
User3,Copy,File2,1,25.63,2016:04:06:05:10:21,normal
User2,Cut,File3,1,2.14,2016:04:06:05:11:50,normal
User1,Read,File2,1,34.5,2016:04:06:05:12:00,normal
User5,Execute,cmd.exe,1,1.81,2016:04:06:05:17:50,normal
User3,Execute,wmp.exe,1,118.69,2016:04:06:05:18:22,normal
User4,Execute,cmd.exe,1,2.93,2016:04:06:05:19:05,normal
User1,Delete,File1,1,29.68,2016:04:06:05:22:00,normal
User4,Write,SharedFile6,1,9.32,2016:04:06:05:24:10,normal
User4,Write,SharedFile6,1,10.09,2016:04:06:05:26:27,normal
User2,Read,File2,1,17.39,2016:04:06:05:29:46,normal
User3,Execute,ps.exe,1,94.6,2016:04:06:05:30:41,normal
User5,Execute,GChrome.exe,1,107.16,2016:04:06:05:33:58,normal
User2,Read,File3,1,3.8,2016:04:06:05:34:01,normal
User1,Read,SharedFile4,1,9.71,2016:04:06:05:39:34,normal
User4,Execute,cmd.exe,1,1.48,2016:04:06:05:40:31,normal
User1,Execute,ps.exe,1,73.35,2016:04:06:05:44:01,normal
User5,Execute,ps.exe,1,108.82,2016:04:06:05:47:14,normal
User5,Execute,ps.exe,1,128.56,2016:04:06:05:52:42,normal
User2,Execute,ps.exe,1,112.53,2016:04:06:05:54:07,normal
User4,Read,SharedFile6,1,7.29,2016:04:06:05:57:09,normal
User5,Execute,cmd.exe,1,1.31,2016:04:06:06:01:54,normal
User1,Write,File3,1,3.3,2016:04:06:06:04:24,normal
User3,Execute,ps.exe,1,34.85,2016:04:06:06:05:46,normal
User5,Delete,File2,1,31.38,2016:04:06:06:06:08,normal
User3,Execute,cmd.exe,1,2.52,2016:04:06:06:09:17,normal
User1,Execute,ps.exe,1,101.46,2016:04:06:06:12:51,normal
User3,Execute,cmd.exe,1,1.16,2016:04:06:06:15:35,normal
User3,Execute,cmd.exe,1,1.41,2016:04:06:06:19:42,normal
User1,Execute,wmp.exe,1,111.77,2016:04:06:06:21:22,normal
User4,Copy,File2,1,21.45,2016:04:06:06:23:35,normal
User3,Execute,ps.exe,1,127.67,2016:04:06:06:26:00,normal
User1,Read,File1,1,44.58,2016:04:06:06:28:46,normal
User1,Execute,ps.exe,1,44.16,2016:04:06:06:31:14,normal
User5,Write,File3,1,2.61,2016:04:06:06:32:42,normal
User2,Execute,notepad.exe,1,9.53,2016:04:06:06:35:51,normal
User4,Close,SharedFile6,1,2.02,2016:04:06:06:36:56,normal
User4,Execute,notepad.exe,1,10.92,2016:04:06:06:40:00,normal
User5,Execute,wmp.exe,1,119.74,2016:04:06:06:42:16,normal
User1,Open,SharedFile6,1,12.41,2016:04:06:06:43:32,normal
User4,Execute,notepad.exe,1,12.46,2016:04:06:06:44:31,normal
User3,Write,SharedFile5,1,10.74,2016:04:06:06:45:15,normal
User3,Read,File1,1,31.32,2016:04:06:06:47:42,normal
User5,Read,File2,1,18,2016:04:06:06:48:53,normal
User2,Execute,GChrome.exe,1,84.56,2016:04:06:06:51:07,normal
User2,Execute,notepad.exe,1,11.6,2016:04:06:06:53:29,normal
User3,Delete,File2,1,26.87,2016:04:06:07:01:46,normal
User2,Execute,notepad.exe,1,10.75,2016:04:06:07:03:15,normal
User3,Delete,File1,1,43.49,2016:04:06:07:04:47,normal
User2,Execute,ps.exe,1,49.31,2016:04:06:07:07:29,normal
User1,Copy,SharedFile6,1,9.13,2016:04:06:07:10:18,normal
User5,Execute,cmd.exe,1,1.86,2016:04:06:07:11:46,normal
User2,Execute,notepad.exe,1,12.99,2016:04:06:07:13:03,normal
User2,Execute,GChrome.exe,1,99.09,2016:04:06:07:15:53,normal
User5,Execute,cmd.exe,1,2.69,2016:04:06:07:18:37,normal
User3,Cut,File2,1,34.61,2016:04:06:07:19:13,normal
User5,Execute,cmd.exe,1,1.7,2016:04:06:07:20:15,normal
User5,Copy,File1,1,45.27,2016:04:06:07:23:22,normal
User4,Execute,GChrome.exe,1,123.51,2016:04:06:07:25:49,normal
User3,Execute,notepad.exe,1,9.76,2016:04:06:07:28:53,normal
User1,Execute,GChrome.exe,1,101.67,2016:04:06:07:29:26,normal
User5,Execute,wmp.exe,1,120.28,2016:04:06:07:32:14,normal
User2,Execute,wmp.exe,1,117.14,2016:04:06:07:33:40,normal
User5,Cut,File3,1,3.69,2016:04:06:07:35:26,normal
User3,Read,SharedFile5,1,13.18,2016:04:06:07:37:26,normal
User4,Execute,ps.exe,1,53.35,2016:04:06:07:41:34,normal
User4,Cut,File1,1,31.07,2016:04:06:07:42:33,normal
User3,Execute,cmd.exe,1,1.04,2016:04:06:07:47:18,normal
User1,Execute,ps.exe,1,78.66,2016:04:06:07:49:48,normal
User3,Execute,wmp.exe,1,113.81,2016:04:06:07:50:55,normal
User3,Delete,File3,1,1.32,2016:04:06:07:51:20,normal
User3,Execute,wmp.exe,1,120.13,2016:04:06:07:54:28,normal
User3,Close,SharedFile5,1,5.28,2016:04:06:07:56:16,normal
User2,Execute,notepad.exe,1,10.74,2016:04:06:07:57:43,normal
User2,Copy,File2,1,16.71,2016:04:06:08:00:27,normal
User1,Copy,SharedFile6,1,9.93,2016:04:06:08:01:59,normal
User4,Cut,File3,1,2.09,2016:04:06:08:02:05,normal
User1,Delete,File1,1,32.11,2016:04:06:08:03:43,normal
User2,Write,File1,1,38.44,2016:04:06:08:04:49,normal
User4,Read,File3,1,3.03,2016:04:06:08:06:05,normal
User1,Read,SharedFile4,1,10.63,2016:04:06:08:07:46,normal
User5,Execute,ps.exe,1,80.25,2016:04:06:08:10:57,normal
User2,Execute,GChrome.exe,1,81.52,2016:04:06:08:12:46,normal
User3,Execute,wmp.exe,1,118.13,2016:04:06:08:13:22,normal
User1,Execute,ps.exe,1,121.2,2016:04:06:08:14:22,normal
User5,Read,File1,1,49.25,2016:04:06:08:17:50,normal
User1,Open,SharedFile5,1,17.37,2016:04:06:08:18:55,normal
User1,Execute,GChrome.exe,1,112.81,2016:04:06:08:19:50,normal
User4,Execute,notepad.exe,1,9.43,2016:04:06:08:20:13,normal
User5,Execute,wmp.exe,1,116.55,2016:04:06:08:21:07,normal
User1,Execute,GChrome.exe,1,109.3,2016:04:06:08:24:24,normal
User4,Copy,File3,1,3.23,2016:04:06:08:25:53,normal
User3,Execute,notepad.exe,1,10.37,2016:04:06:08:26:43,normal
User4,Execute,GChrome.exe,1,112.65,2016:04:06:08:28:13,normal
User3,Execute,notepad.exe,1,12.96,2016:04:06:08:33:05,normal
User1,Write,SharedFile5,1,12.7,2016:04:06:08:35:18,normal
User3,Copy,File1,1,47.77,2016:04:06:08:36:16,normal
User2,Execute,notepad.exe,1,10.81,2016:04:06:08:37:46,normal
User5,Execute,GChrome.exe,1,114.95,2016:04:06:08:39:05,normal
User2,Delete,File2,1,21.15,2016:04:06:08:43:44,normal
User3,Execute,cmd.exe,1,1.06,2016:04:06:08:45:20,normal
User5,Execute,GChrome.exe,1,96.25,2016:04:06:08:46:17,normal
User5,Execute,notepad.exe,1,12.41,2016:04:06:08:50:57,normal
User1,Execute,notepad.exe,1,11.77,2016:04:06:08:52:05,normal
User5,Execute,notepad.exe,1,11.66,2016:04:06:08:53:22,normal
User1,Execute,cmd.exe,1,2.28,2016:04:06:08:56:34,normal
User3,Execute,GChrome.exe,1,88.31,2016:04:06:09:02:26,normal
User4,Cut,File3,1,2.26,2016:04:06:09:04:47,normal
User2,Execute,ps.exe,1,42.6,2016:04:06:09:08:51,normal
User2,Execute,cmd.exe,1,1.73,2016:04:06:09:15:23,normal
User2,Cut,File1,1,37.41,2016:04:06:09:17:16,normal
User2,Read,File2,1,32.42,2016:04:06:09:19:51,normal
User4,Execute,ps.exe,1,111.17,2016:04:06:09:21:17,normal
User2,Execute,GChrome.exe,1,81.68,2016:04:06:09:23:27,normal
User1,Copy,SharedFile4,1,7.01,2016:04:06:09:25:05,normal
User1,Execute,notepad.exe,1,9.15,2016:04:06:09:27:35,normal
User3,Delete,File3,1,2.22,2016:04:06:09:30:30,normal
User1,Execute,notepad.exe,1,10.83,2016:04:06:09:32:45,normal
User1,Execute,wmp.exe,1,116.78,2016:04:06:09:35:34,normal
User5,Execute,cmd.exe,1,1.15,2016:04:06:09:37:27,normal
User2,Execute,cmd.exe,1,1.96,2016:04:06:09:38:09,normal
User5,Execute,GChrome.exe,1,103.4,2016:04:06:09:43:18,normal
User5,Write,File1,1,34.4,2016:04:06:09:46:22,normal
User2,Read,File1,1,34.04,2016:04:06:09:49:25,normal
User5,Execute,notepad.exe,1,11.73,2016:04:06:09:50:26,normal
User2,Execute,ps.exe,1,60.78,2016:04:06:09:53:29,normal
User1,Execute,notepad.exe,1,11.69,2016:04:06:09:54:16,normal
User3,Execute,ps.exe,1,96.99,2016:04:06:09:56:46,normal
User1,Execute,GChrome.exe,1,102.84,2016:04:06:10:00:18,normal
User4,Execute,wmp.exe,1,113.88,2016:04:06:10:03:35,normal
User5,Execute,cmd.exe,1,1.73,2016:04:06:10:04:05,normal
User1,Close,SharedFile4,1,3.33,2016:04:06:10:05:26,normal
User3,Write,File1,1,36.77,2016:04:06:10:08:51,normal
User4,Execute,cmd.exe,1,1.5,2016:04:06:10:10:23,normal
User3,Cut,File2,1,27.99,2016:04:06:10:11:03,normal
User2,Execute,wmp.exe,1,110.08,2016:04:06:10:12:01,normal
User4,Delete,File2,1,34.39,2016:04:06:10:14:52,normal
User1,Copy,SharedFile6,1,6.74,2016:04:06:10:15:31,normal
User3,Read,File2,1,30.16,2016:04:06:10:17:08,normal
User4,Execute,GChrome.exe,1,101.87,2016:04:06:10:18:41,normal
User2,Execute,notepad.exe,1,9.49,2016:04:06:10:20:03,normal
User4,Cut,File2,1,21.09,2016:04:06:10:22:01,normal
User1,Read,File1,1,46,2016:04:06:10:23:48,normal
User4,Execute,ps.exe,1,56.07,2016:04:06:10:28:52,normal
User2,Cut,File3,1,3.67,2016:04:06:10:31:50,normal
User1,Execute,notepad.exe,1,11.39,2016:04:06:10:33:21,normal
User1,Execute,ps.exe,1,42.16,2016:04:06:10:34:16,normal
User4,Execute,GChrome.exe,1,120.78,2016:04:06:10:35:57,normal
User5,Execute,ps.exe,1,108.19,2016:04:06:10:36:00,normal
User2,Execute,ps.exe,1,107.65,2016:04:06:10:37:36,normal
User1,Execute,ps.exe,1,64.83,2016:04:06:10:40:09,normal
User1,Copy,File2,1,21.45,2016:04:06:10:43:54,normal
User4,Execute,ps.exe,1,40.51,2016:04:06:10:44:04,normal
User4,Execute,ps.exe,1,63.32,2016:04:06:10:45:39,normal
User5,Execute,GChrome.exe,1,125.44,2016:04:06:10:46:40,normal
User3,Execute,wmp.exe,1,111.08,2016:04:06:10:47:32,normal
User5,Execute,ps.exe,1,71.2,2016:04:06:10:49:05,normal
User4,Execute,cmd.exe,1,2.53,2016:04:06:10:51:59,normal
User4,Execute,cmd.exe,1,1.14,2016:04:06:10:54:07,normal
User2,Open,SharedFile4,1,3.99,2016:04:06:10:57:01,normal
User4,Write,File3,1,1,2016:04:06:10:58:36,normal
User2,Execute,notepad.exe,1,9.25,2016:04:06:10:59:09,normal
User5,Execute,cmd.exe,1,1.45,2016:04:06:11:02:26,normal
User3,Execute,cmd.exe,1,2.33,2016:04:06:11:04:08,normal
User5,Execute,GChrome.exe,1,117.93,2016:04:06:11:08:34,normal
User2,Write,File1,1,35.6,2016:04:06:11:09:13,normal
User3,Write,File1,1,49.85,2016:04:06:11:12:09,normal
User2,Execute,notepad.exe,1,11.81,2016:04:06:11:14:04,normal
User2,Copy,File1,1,43.16,2016:04:06:11:15:35,normal
User2,Execute,GChrome.exe,1,81.85,2016:04:06:11:16:29,normal
User3,Execute,wmp.exe,1,114.13,2016:04:06:11:18:17,normal
User3,Delete,File3,1,3.1,2016:04:06:11:20:56,normal
User2,Cut,File1,1,32.16,2016:04:06:11:22:44,normal
User3,Execute,wmp.exe,1,115.07,2016:04:06:11:26:00,normal
User1,Execute,GChrome.exe,1,111.28,2016:04:06:11:27:28,normal
User5,Cut,File3,1,1.92,2016:04:06:11:30:34,normal
User4,Read,File1,1,45.82,2016:04:06:11:31:39,normal
User1,Execute,wmp.exe,1,115.7,2016:04:06:11:32:00,normal
User3,Read,File2,1,15.43,2016:04:06:11:35:15,normal
User3,Execute,notepad.exe,1,9.96,2016:04:06:11:38:27,normal
User1,Cut,File3,1,3.69,2016:04:06:11:39:48,normal
User2,Execute,notepad.exe,1,10.87,2016:04:06:11:43:14,normal
User3,Execute,cmd.exe,1,1.62,2016:04:06:11:45:26,normal
User5,Execute,cmd.exe,1,2.04,2016:04:06:11:46:40,normal
User1,Cut,File2,1,37.24,2016:04:06:11:47:47,normal
User1,Execute,ps.exe,1,128.65,2016:04:06:11:49:44,normal
User2,Execute,cmd.exe,1,1.77,2016:04:06:11:51:45,normal
User5,Execute,ps.exe,1,74.34,2016:04:06:11:53:47,normal
User1,Close,SharedFile6,1,20.04,2016:04:06:11:55:21,normal
User2,Execute,ps.exe,1,102.85,2016:04:06:11:56:42,normal
User5,Execute,wmp.exe,1,115.85,2016:04:06:11:57:09,normal
User5,Execute,GChrome.exe,1,116.15,2016:04:06:11:59:46,normal
User2,Execute,ps.exe,1,87.09,2016:04:06:12:02:53,normal
User1,Cut,File2,1,23.87,2016:04:06:12:06:08,normal
User2,Copy,File1,1,36.47,2016:04:06:12:09:30,normal
User2,Copy,SharedFile4,1,6.36,2016:04:06:12:10:25,normal
User2,Open,SharedFile6,1,4.97,2016:04:06:12:13:47,normal
User2,Cut,File1,1,30.05,2016:04:06:12:14:58,normal
User5,Execute,ps.exe,1,118.36,2016:04:06:12:16:26,normal
User2,Execute,GChrome.exe,1,86.21,2016:04:06:12:17:28,normal
User3,Write,File1,1,42.69,2016:04:06:12:19:52,normal
User4,Execute,notepad.exe,1,11.2,2016:04:06:12:20:28,normal
User2,Read,File1,1,33.77,2016:04:06:12:25:18,normal
User5,Execute,wmp.exe,1,118.53,2016:04:06:12:28:30,normal
User3,Execute,ps.exe,1,87.72,2016:04:06:12:29:00,normal
User5,Delete,File2,1,20.03,2016:04:06:12:30:55,normal
User4,Read,File1,1,50,2016:04:06:12:31:47,normal
User2,Execute,wmp.exe,1,110.72,2016:04:06:12:32:44,normal
User3,Execute,ps.exe,1,58.69,2016:04:06:12:38:36,normal
User4,Read,File2,1,19.48,2016:04:06:12:39:56,normal
User3,Execute,GChrome.exe,1,110.06,2016:04:06:12:41:33,normal
User5,Execute,GChrome.exe,1,118.02,2016:04:06:12:42:29,normal
User1,Execute,GChrome.exe,1,119.44,2016:04:06:12:45:25,normal
User4,Copy,File3,1,2.84,2016:04:06:12:47:00,normal
User1,Write,File1,1,35.31,2016:04:06:12:49:02,normal
User3,Delete,File1,1,42.24,2016:04:06:12:52:31,normal
User1,Copy,File3,1,1.54,2016:04:06:12:55:30,normal
User1,Execute,ps.exe,1,78.13,2016:04:06:12:56:13,normal
User4,Execute,cmd.exe,1,2.4,2016:04:06:12:58:15,normal
User5,Execute,ps.exe,1,87.74,2016:04:06:12:59:10,normal
User5,Execute,cmd.exe,1,2.2,2016:04:06:13:01:34,normal
User2,Execute,ps.exe,1,106.16,2016:04:06:13:04:40,normal
User3,Write,File1,1,33.07,2016:04:06:13:06:43,normal
User3,Execute,notepad.exe,1,12.1,2016:04:06:13:08:39,normal
User1,Execute,GChrome.exe,1,87.53,2016:04:06:13:10:24,normal
User4,Delete,File3,1,3.1,2016:04:06:13:11:02,normal
User3,Execute,notepad.exe,1,11.46,2016:04:06:13:13:34,normal
User4,Execute,notepad.exe,1,11.49,2016:04:06:13:16:50,normal
User1,Execute,ps.exe,1,123.46,2016:04:06:13:18:57,normal
User4,Execute,ps.exe,1,126.78,2016:04:06:13:19:15,normal
User1,Execute,GChrome.exe,1,114.5,2016:04:06:13:22:48,normal
User5,Execute,cmd.exe,1,2.69,2016:04:06:13:23:13,normal
User3,Delete,File1,1,45.17,2016:04:06:13:25:25,normal
User5,Execute,ps.exe,1,97.91,2016:04:06:13:30:56,normal
User2,Read,SharedFile6,1,10.36,2016:04:06:13:31:37,normal
User3,Write,File2,1,16.93,2016:04:06:13:33:04,normal
User5,Copy,File2,1,25.96,2016:04:06:13:36:07,normal
User1,Execute,notepad.exe,1,9.35,2016:04:06:13:37:16,normal
User4,Execute,cmd.exe,1,2.71,2016:04:06:13:38:44,normal
User4,Execute,notepad.exe,1,12.3,2016:04:06:13:40:31,normal
User3,Read,File2,1,33.22,2016:04:06:13:43:13,normal
User4,Execute,wmp.exe,1,115.44,2016:04:06:13:46:07,normal
User2,Read,SharedFile4,1,10.21,2016:04:06:13:49:33,normal
User1,Execute,GChrome.exe,1,119.19,2016:04:06:13:51:53,normal
User3,Execute,cmd.exe,1,1.4,2016:04:06:13:54:55,normal
User1,Execute,wmp.exe,1,119.11,2016:04:06:13:57:20,normal
User3,Cut,File1,1,34.27,2016:04:06:13:59:44,normal
User2,Copy,SharedFile4,1,7.29,2016:04:06:14:00:32,normal
User2,Write,SharedFile6,1,10.58,2016:04:06:14:01:16,normal
User5,Execute,ps.exe,1,129.79,2016:04:06:14:02:27,normal
User2,Execute,cmd.exe,1,1.22,2016:04:06:14:05:20,normal
User2,Delete,File2,1,21.22,2016:04:06:14:06:19,normal
User4,Execute,cmd.exe,1,1.35,2016:04:06:14:09:55,normal
User5,Execute,GChrome.exe,1,82.97,2016:04:06:14:12:32,normal
User4,Execute,GChrome.exe,1,95.99,2016:04:06:14:15:37,normal
User3,Execute,ps.exe,1,120.99,2016:04:06:14:23:41,normal
User1,Execute,wmp.exe,1,116.96,2016:04:06:14:25:15,normal
User1,Execute,ps.exe,1,103.15,2016:04:06:14:26:28,normal
User1,Execute,ps.exe,1,54.67,2016:04:06:14:30:44,normal
User5,Execute,notepad.exe,1,11.34,2016:04:06:14:34:00,normal
User4,Execute,ps.exe,1,113.26,2016:04:06:14:35:44,normal
User1,Execute,cmd.exe,1,1.3,2016:04:06:14:37:37,normal
User1,Read,File2,1,33.17,2016:04:06:14:40:02,normal
User2,Execute,wmp.exe,1,112.78,2016:04:06:14:42:00,normal
User1,Cut,File2,1,39.96,2016:04:06:14:43:51,normal
User5,Execute,wmp.exe,1,117.65,2016:04:06:14:50:52,normal
User1,Read,File2,1,40.26,2016:04:06:14:51:10,normal
User3,Execute,ps.exe,1,51.54,2016:04:06:14:52:05,normal
User4,Read,File1,1,50.52,2016:04:06:14:57:21,normal
User2,Execute,ps.exe,1,106.14,2016:04:06:14:59:30,normal
User5,Execute,ps.exe,1,110.11,2016:04:06:15:02:13,normal
User2,Execute,GChrome.exe,1,125.08,2016:04:06:15:08:04,normal
User5,Execute,cmd.exe,1,2.97,2016:04:06:15:11:38,normal
User2,Execute,cmd.exe,1,2.69,2016:04:06:15:13:35,normal
User2,Execute,GChrome.exe,1,92.37,2016:04:06:15:21:11,normal
User1,Execute,ps.exe,1,64.45,2016:04:06:15:23:21,normal
User1,Cut,File3,1,2.97,2016:04:06:15:26:56,normal
User2,Execute,cmd.exe,1,1.76,2016:04:06:15:29:39,normal
User3,Execute,wmp.exe,1,110.56,2016:04:06:15:32:46,normal
User2,Execute,cmd.exe,1,1.34,2016:04:06:15:35:13,normal
User4,Write,File1,1,33.14,2016:04:06:15:38:19,normal
User2,Execute,ps.exe,1,74,2016:04:06:15:39:42,normal
User4,Copy,File3,1,1.41,2016:04:06:15:41:18,normal
User4,Copy,File3,1,2.14,2016:04:06:15:43:15,normal
User1,Execute,wmp.exe,1,117.26,2016:04:06:15:44:31,normal
User1,Cut,File3,1,3.75,2016:04:06:15:46:58,normal
User5,Execute,wmp.exe,1,110.22,2016:04:06:15:49:31,normal
User3,Execute,notepad.exe,1,11.21,2016:04:06:15:50:42,normal
User2,Execute,cmd.exe,1,2.12,2016:04:06:15:52:19,normal
User5,Delete,File1,1,34.7,2016:04:06:15:53:22,normal
User5,Execute,cmd.exe,1,1.45,2016:04:06:15:55:02,normal
User5,Write,File3,1,1.99,2016:04:06:15:56:59,normal
User3,Execute,wmp.exe,1,110.98,2016:04:06:15:57:20,normal
User4,Execute,wmp.exe,1,113.17,2016:04:06:16:00:07,normal
User4,Execute,ps.exe,1,82.72,2016:04:06:16:04:46,normal
User5,Execute,notepad.exe,1,11.36,2016:04:06:16:05:47,normal
User2,Read,File3,1,3.49,2016:04:06:16:06:39,normal
User3,Execute,ps.exe,1,66.86,2016:04:06:16:07:20,normal
User3,Execute,cmd.exe,1,2.44,2016:04:06:16:08:28,normal
User1,Write,File1,1,35.48,2016:04:06:16:09:08,normal
User1,Execute,ps.exe,1,71.44,2016:04:06:16:12:23,normal
User5,Execute,wmp.exe,1,116.28,2016:04:06:16:14:47,normal
User3,Execute,ps.exe,1,48.67,2016:04:06:16:18:07,normal
User2,Copy,SharedFile4,1,6.85,2016:04:06:16:20:38,normal
User4,Execute,wmp.exe,1,117.11,2016:04:06:16:21:12,normal
User1,Cut,File3,1,3.47,2016:04:06:16:24:55,normal
User1,Write,File2,1,22.93,2016:04:06:16:25:11,normal
User5,Execute,cmd.exe,1,2.55,2016:04:06:16:26:39,normal
User4,Execute,ps.exe,1,60.58,2016:04:06:16:30:37,normal
User5,Execute,notepad.exe,1,9.99,2016:04:06:16:31:40,normal
User4,Copy,File1,1,29.54,2016:04:06:16:32:04,normal
User1,Copy,SharedFile5,1,11.86,2016:04:06:16:33:06,normal
User1,Execute,GChrome.exe,1,128.62,2016:04:06:16:35:24,normal
User1,Copy,File1,1,31.85,2016:04:06:16:36:41,normal
User5,Execute,ps.exe,1,40.2,2016:04:06:16:37:30,normal
User4,Read,File1,1,47.86,2016:04:06:16:38:43,normal
User4,Execute,wmp.exe,1,120.37,2016:04:06:16:41:01,normal
User1,Execute,cmd.exe,1,1.08,2016:04:06:16:47:08,normal
User3,Copy,File2,1,39.51,2016:04:06:16:48:46,normal
User1,Write,SharedFile5,1,11.22,2016:04:06:16:49:10,normal
User5,Copy,File3,1,3.92,2016:04:06:16:50:12,normal
User5,Execute,cmd.exe,1,2.83,2016:04:06:16:51:02,normal
User1,Delete,File2,1,32.99,2016:04:06:16:52:35,normal
User2,Execute,notepad.exe,1,10.18,2016:04:06:16:53:16,normal
User3,Cut,File3,1,3.55,2016:04:06:16:54:21,normal
User3,Execute,wmp.exe,1,119.67,2016:04:06:16:55:35,normal
User5,Execute,GChrome.exe,1,125.74,2016:04:06:16:57:50,normal
User2,Execute,ps.exe,1,87.12,2016:04:06:17:00:01,normal
User1,Execute,notepad.exe,1,9.48,2016:04:06:17:01:10,normal
User2,Copy,File1,1,47.16,2016:04:06:17:03:15,normal
User4,Execute,wmp.exe,1,120.31,2016:04:06:17:04:54,normal
User4,Execute,cmd.exe,1,1.56,2016:04:06:17:06:18,normal
User2,Read,SharedFile6,1,6.77,2016:04:06:17:08:59,normal
User4,Execute,cmd.exe,1,1.62,2016:04:06:17:12:06,normal
User4,Execute,GChrome.exe,1,86.42,2016:04:06:17:13:51,normal
User1,Execute,wmp.exe,1,112.78,2016:04:06:17:14:23,normal
User3,Read,File2,1,25.67,2016:04:06:17:15:19,normal
User1,Execute,notepad.exe,1,11.21,2016:04:06:17:20:01,normal
User2,Read,File2,1,32.12,2016:04:06:17:22:58,normal
User2,Execute,notepad.exe,1,9.29,2016:04:06:17:23:23,normal
User5,Execute,notepad.exe,1,10.43,2016:04:06:17:26:50,normal
User2,Close,SharedFile6,1,17.91,2016:04:06:17:29:43,normal
User4,Open,SharedFile6,1,7.77,2016:04:06:17:30:31,normal
User2,Cut,File1,1,42.14,2016:04:06:17:32:21,normal
User5,Read,File3,1,1.39,2016:04:06:17:33:56,normal
User5,Execute,notepad.exe,1,12.71,2016:04:06:17:34:01,normal
User4,Write,File1,1,38.74,2016:04:06:17:37:56,normal
User4,Delete,File1,1,45.63,2016:04:06:17:38:11,normal
User4,Execute,cmd.exe,1,2.62,2016:04:06:17:41:50,normal
User3,Execute,notepad.exe,1,12,2016:04:06:17:49:22,normal
User1,Execute,GChrome.exe,1,105.76,2016:04:06:17:51:16,normal
